technology,evidence_source,doi_or_url,role,admission_boundary
PERC PV,"Abdallah, Ali & Kivambe (2023), Solar Energy 249, 268-277",10.1016/j.solener.2022.11.042,Desert-field reliability and degradation context,Supports direction and uncertainty; does not numerically calibrate S0 or rho.
PERC PV,"Kivambe et al. (2025), Solar Energy 295, 113555",10.1016/j.solener.2025.113555,Three-year Qatar comparison of PERC/TOPCon/SHJ,Supports product heterogeneity and field context; not a universal family coefficient.
TOPCon PV,"Kivambe et al. (2025), Solar Energy 295, 113555",10.1016/j.solener.2025.113555,Three-year Qatar comparison of PERC/TOPCon/SHJ,Supports strong yield/PR potential and model-dependent degradation; not universal.
TOPCon PV,"Sen et al. (2024), Solar Energy Materials and Solar Cells 272, 112877",10.1016/j.solmat.2024.112877,Damp-heat reliability and bill-of-materials sensitivity,Supports a wide resilience envelope and explicit product/BOM caution.
TOPCon PV,"Glunz et al. (2023), Progress in Photovoltaics 31, 341-359",10.1002/pip.3522,TOPCon architecture and performance context,Supports technology relevance; not a field resilience calibration.
SHJ/HJT PV,"Kivambe et al. (2025), Solar Energy 295, 113555",10.1016/j.solener.2025.113555,Qatar desert performance and degradation,Directly supports evidence-conflicted interpretation.
SHJ/HJT PV,"Lin et al. (2023), Nature Energy",10.1038/s41560-023-01255-2,High-efficiency SHJ performance context,Supports performance potential; not desert durability calibration.
CdTe PV,"U.S. DOE, Cadmium Telluride Photovoltaics Perspective Paper",https://www.energy.gov/cmei/systems/cadmium-telluride-photovoltaics-perspective-paper,CdTe technology and hot-climate context,Supports technology relevance; not a four-family field calibration.
CdTe PV,"Metzger et al. (2019), Nature Energy",10.1038/s41560-019-0446-7,CdTe device-performance context,Supports technology maturity/performance context; not direct resilience calibration.
PERC PV,"Nan et al. (2024), Solar Energy Materials and Solar Cells 266, 112649",10.1016/j.solmat.2023.112649,Experimental temperature-dependence comparison of PERC/SHJ/TOPCon,Supports thermal-response direction; not a universal screening coefficient.
TOPCon PV,"Nan et al. (2024), Solar Energy Materials and Solar Cells 266, 112649",10.1016/j.solmat.2023.112649,Experimental temperature-dependence comparison of PERC/SHJ/TOPCon,Supports thermal-response direction; not a universal screening coefficient.
SHJ/HJT PV,"Nan et al. (2024), Solar Energy Materials and Solar Cells 266, 112649",10.1016/j.solmat.2023.112649,Experimental temperature-dependence comparison of PERC/SHJ/TOPCon,Supports thermal-response direction; not a universal screening coefficient.
All c-Si families,"Adothu et al. (2024), Progress in Photovoltaics 32, 495-527",10.1002/pip.3827,Desert-climate performance and reliability review,Supports climate-specific reliability framing; no numerical calibration.
All PV families,"IEA PVPS T13-32:2025, Optimisation of Photovoltaic Systems for Different Climates",10.69766/QSYC8858,Climate-specific stressors and mitigation context,Supports climate-aware screening boundaries; no numerical calibration.
CdTe PV,"Mehdi et al. (2023), Renewable Energy 205, 695-716",10.1016/j.renene.2023.01.082,Hot-arid experimental comparison of pc-Si and CdTe,Supports technology-specific temperature/soiling response; not universal.
